file,method,lvl,Content,MatchWith
MatchVerifyTrans.java,doVerifyAction(),Error,"""Invalid usercode : ""+dpas.getUserCode()+"" in row ""+ (rows[i].intValue()+1)",PCS-TRN-005
MatchVerifyTrans.java,loadPcardHolderName(String),Error,e.getMessage(),PCS-TRN-005
MatchVerifyTrans.java,loadPcardHolderName(String),Error,e.getMessage(),PCS-TRN-005
MatchVerifyTrans.java,middleHasDisputed(Integer[]),Error,""" Data changed, have you modified data at another page ?""",PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),Info,""" Email notification sent to :"" + holder.getUsername() + "" ;""",PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),Error,e.getMessage(),PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),Error,""" P-Card Holder  has't valid email address .""",PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),Error,""" Error accessing Database.""",PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),abnormal,"===msgLvl===2667addErrorMsg(
",PCS-TRN-005
MatchVerifyTrans.java,notifyHolder(),Error,""" Error reading Email Notification config.""",PCS-TRN-005
MatchVerifyTrans.java,notifySupervisor(),Error,""" Can't notify Card Supervisor [ cause : No section infomation found ] .""",PCS-TRN-005
MatchVerifyTrans.java,notifySupervisor(),Info,validNames,PCS-TRN-005
MatchVerifyTrans.java,notifySupervisor(),Error,""" Error - accessing Database .""",PCS-TRN-005
MatchVerifyTrans.java,notifySupervisor(),Error,""" Error - reading Email Notification Config.""",PCS-TRN-005
MatchVerifyTrans.java,notifySupervisor(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-005
OutOffice.java,doActivateAction(),Error,""" You are currently acting as a designated officer for someone & he/she is out of office , so you can't activate out of office function .""",
OutOffice.java,doActivateAction(),Error,""" Please assign an Officer  . """,
OutOffice.java,doActivateAction(),Error,""" Start Date must be NOT LATER THAN End Date .""",
OutOffice.java,doActivateAction(),Error,""" Start Date Must be NOT EARLIER THAN Today . """,
OutOffice.java,doActivateAction(),Info,""" 'Out of Office' function Activated .""",
OutOffice.java,doDeactivateAction(),Info,""" 'Out of Office' funcion Deactivated .""",
PCardProfileEnquiry.java,doSearchAction(),Info,"""No record was found for display in the below list.""",
PageAccess.java,doLinkDeleteAction(),Info,"""Record deleted .""",
PageCodeBase.java,addErrorMsg(String),Error,String detail,
PageCodeBase.java,addExceptionMsg(Throwable),Error,getRootMessage(e),
PageCodeBase.java,addInfoMsg(String),Info,String detail,
PageCodeBase.java,addWarnMsg(String),Warn,String detail,
PcardDetailForCard.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-TRN-012
PcardDetailForSection.java,doRejectAction(),Error,""" Server is busy.""",PCS-TRN-014
PcardDetailForSection.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Info,msg,PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Error,e.getMessage(),PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Info,""" No Email notification sent  because No email of EU Supervisors  responsible for this section found .""",PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Error,""" Error - accessing Database .""",PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Error,"""Error - sending email .[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-014
PcardDetailForSection.java,notifyEuClerks(String),Error,""" Error - reading Email Notification Config.""",PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Info,msg,PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Error,e.getMessage(),PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Info,""" No Email notification sent  because No emails found .""",PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Error,""" Error - accessing Database .""",PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Error,"""Error - sending email .[ SMTP Host not found :"" + root.getMessage() + ""].""",PCS-TRN-014
PcardDetailForSection.java,notifyHolders(String[]),Error,""" Error - reading Email Notification Config.""",PCS-TRN-014
PcardDetailForSection.java,updateApprovalStatus(BaseDataJob),Error,""" Please check some records  first. """,PCS-TRN-014
PcardDetailForSection.java,updateApprovalStatus(BaseDataJob),Info,""" Update status successfully. """,PCS-TRN-014
PcardTopJob.java,"run(String, String, ArrayList, Integer[], ActionHistory)",abnormal,"===msgLvl===41msgs.addWarnMsg(
",
ReasonList.java,doCreateAction(),Error,""" Please enter Reason .""",PCS-SYS-013
ReasonList.java,doCreateAction(),Info,""" Reason created [ id ="" + getReason().getReasonId() + ""].""",PCS-SYS-013
ReasonList.java,doDeleteAction(),Info,""" Reason  deleted [ id ="" + current.getReasonId() + "" , reason ="" + current.getReason() + ""] .""",PCS-SYS-013
ReasonList.java,doEditAction(),Info,""" updated  successfully. """,PCS-SYS-013
ReasonList.java,doRefreshAction(),Info,""" Latest reason list retrieved. """,PCS-SYS-013
ReminderSchedule.java,doSaveAction(),Info,""" Update succesfully. """,
SectionEnquiry.java,onPageLoadBegin(FacesContext),Info,""" No record was found for display in the below list.""",PCS-ENQ-003
SelectUserCode.java,doAddAction(),Error,""" Please select some records from search result list first. """,PCS-TRN-006
SelectUserCode.java,doRemoveAction(),Error,""" Please select some records from selected list first. """,PCS-TRN-006
SummaryAfterUpload.java,doCancelAction(),Warn,""" No anything to Delete .""",PCS-TRN-002
SummaryAfterUpload.java,setEnableStatus(boolean),Info,""" Auto - Match enabled.""",PCS-TRN-002
SummaryAfterUpload.java,setEnableStatus(boolean),Info,""" Auto - Match disabled.""",PCS-TRN-002
SummaryAfterUploadPMSU.java,doCancelAction(),Warn,""" No anything to Delete .""",
SummaryAfterUploadPMSU.java,setEnableStatus(boolean),Info,""" Auto - Match enabled.""",
SummaryAfterUploadPMSU.java,setEnableStatus(boolean),Info,""" Auto - Match disabled.""",
Team.java,doDeleteAction(),Info,""" A Team removed : "" + desc",PCS-SYS-006
Team.java,doSaveAction(),Info,""" Team Infomation updated. """,PCS-SYS-006
TeamEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-005
TeamEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-005
TeamEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-005
TeamMapNew.java,doAddAction(),Error,""" Please check some sections from left list . """,PCS-SYS-007
TeamMapNew.java,doAddAction(),Info,"(rows.length - cnt) + "" sections added to list  ( duplicate :"" + cnt + "" ).""",PCS-SYS-007
TeamMapNew.java,doAddAction(),Info,"rows.length + "" sections added to list . """,PCS-SYS-007
TeamMapNew.java,doRemoveAction(),Error,""" Please check some sections from right list . """,PCS-SYS-007
TeamMapNew.java,doRemoveAction(),Info,"rows.length + "" sections removed from list . """,PCS-SYS-007
TeamMapNew.java,doSaveAction(),Error,""" Please check some sections .""",PCS-SYS-007
TeamMapNew.java,doSaveAction(),Info,"""Team :"" + team.getDescription() + "" created [ id :"" + getTeamId() + "" ] .""",PCS-SYS-007
TeamMapNew.java,doSaveAction(),Error,""" Invalid team id .""",PCS-SYS-007
TeamMapNew.java,doSaveAction(),Error,""" Invalid data or team with same description (name) already exists.""",PCS-SYS-007
TeamSectionMap.java,doAddAction(),Error,""" Please check some sections from left list . """,
TeamSectionMap.java,doAddAction(),Info,"(rows.length - cnt) + "" sections added to list  ( duplicate :"" + cnt + "" ).""",
TeamSectionMap.java,doAddAction(),Info,"rows.length + "" sections added to list . """,
TeamSectionMap.java,doRemoveAction(),Error,""" Please check some sections from right list . """,
TeamSectionMap.java,doRemoveAction(),Info,"rows.length + "" sections removed from list . """,
TeamSectionMap.java,doSaveAction(),Error,""" No Team ID found. """,
TeamSectionMap.java,doSaveAction(),Error,""" Please check some sections .""",
TeamSectionMap.java,doSaveAction(),Info,""" Saved successfully. """,
TeamSectionMap.java,doSaveAction(),Error,""" Invalid team id .""",
TotalPayForSection.java,doJob(EuApproveBatchJob),Error,""" Please check some record first.""",PCS-TRN-013
TotalPayForSection.java,doJob(EuApproveBatchJob),Info,""" Update status successfully .""",PCS-TRN-013
TotalPayForSection.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-TRN-013
TotalPayForSection.java,"run(String, ArrayList, Integer[], ActionHistory)",abnormal,"===msgLvl===56msgs.addWarnMsg(
",PCS-TRN-013
TotalPayForSection.java,"run(String, ArrayList, Integer[], ActionHistory)",abnormal,"===msgLvl===68msgs.addWarnMsg(
",PCS-TRN-013
TotalPayForSection.java,"run(String, ArrayList, Integer[], ActionHistory)",Info,""" "" + cnt + "" transactions 's status  updated .""",PCS-TRN-013
TransHistoryEnquiry.java,doRetrieveAction(),Error,""" Nothing to query.""",PCS-ENQ-004
TransHistoryEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-ENQ-004
Ucformats.java,doDeleteAction(),Info,""" User Code Format deleted :"" + rowData.getUsercode() + ""/width :"" + rowData.getCodewidth()",PCS-SYS-018
Ucformats.java,doEditAction(),Error,""" Code Width must greater than or equal to User Code's length. """,PCS-SYS-018
Ucformats.java,doEditAction(),Info,""" User Code Format updated . """,PCS-SYS-018
Ucformats.java,doInsertAction(),Info,""" User Code Format inserted . """,PCS-SYS-018
Ucformats.java,validate(),Error,""" Please fill following fields : "" + b",PCS-SYS-018
UploadPMSUData.java,doUploadAction(),Error,""" A transaction file for this month already uploaded .""",
UploadPMSUData.java,upload(),Error,""" Please upload an excel file .""",
UploadPMSUData.java,upload(),Error,""" Please check the file type .""",
UploadPMSUData.java,upload(),Error,""" Already uploaded for this month .""",
UploadPMSUData.java,upload(),Error,""" File is already uploaded successfully. """,
UploadPMSUData.java,upload(),Error,""" File Already exists . """,
UploadPMSUData.java,validateFields(),Error,""" Please upload a non-empty file .""",
UploadTransData.java,doUploadAction(),Error,""" A transaction file for this month already uploaded .""",PCS-TRN-001
UploadTransData.java,upload(),Error,""" Please select  Due Date .""",PCS-TRN-001
UploadTransData.java,upload(),Error,""" Already uploaded for this month .""",PCS-TRN-001
UploadTransData.java,upload(),Error,""" Transaction Data file already exist. """,PCS-TRN-001
UploadTransData.java,upload(),Error,""" Please select the correct bank code for this batch transactions . """,PCS-TRN-001
UploadTransData.java,upload(),Error,""" File Already exists . """,PCS-TRN-001
UploadTransData.java,validateFields(),Error,""" Please upload a non-empty file .""",PCS-TRN-001
UploadTransData.java,validateFields(),Error,""" Please enter 'Due Date' .""",PCS-TRN-001
UploadTransData.java,validateFields(),abnormal,"===msgLvl===511addErrorMsg(
",PCS-TRN-001
UploadTransData.java,validateFields(),Error,""" 'Due Date' should be later than TODAY.""",PCS-TRN-001
UserProfileDetail.java,doDeleteAction(),Warn,""" Current User Profile is referenced as designated user by following users , if you still like to process , please press Delete again ? """,
UserProfileDetail.java,doDeleteAction(),Warn,""" User ID :"" + refBys[i].getKey() + "" , Name :"" + refBys[i].getValue()",
UserProfileDetail.java,doDeleteAction(),Info,""" User Profile Deleted successfully. """,
UserProfileDetail.java,doDeleteAction(),Error,"""Error :"" + e.getErrorCode() + "":"" + e.getMessage()",
UserProfileDetail.java,doDeleteAction(),Error,"""Error :"" + next.getErrorCode() + "":"" + next.getMessage()",
UserProfileDetail.java,doDeleteAction(),Error,""" Error - accessing database. """,
UserProfileEnquiry.java,doRetrieveAction(),Info,""" No record was found for display in the below list.""",PCS-SYS-001
UserProfileNew.java,doSaveAction(),Error,"""The user is already existed.""",PCS-SYS-002
UserProfileNew.java,doSaveAction(),Info,"""Save user successfully""",PCS-SYS-002
UserProfileNew.java,doSaveAction(),Error,e.getMessage(),PCS-SYS-002
UserProfileNew.java,validate(),Error,""" EU Clerk can only belong to ONE team.""",PCS-SYS-002
UserProfileNew.java,validate(),Error,""" Please assign  team to user """,PCS-SYS-002
UserProfileUpdate.java,doDeleteAction(),Warn,""" Current User Profile is referenced as designated user by following users , if you still like to process , please press Delete again ? """,PCS-SYS-003
UserProfileUpdate.java,doDeleteAction(),Warn,""" User ID :"" + refBys[i].getKey() + "" , Name :"" + refBys[i].getValue()",PCS-SYS-003
UserProfileUpdate.java,doDeleteAction(),Info,""" User Profile Deleted successfully. """,PCS-SYS-003
UserProfileUpdate.java,doDeleteAction(),Error,"""Error :"" + e.getErrorCode() + "":"" + e.getMessage()",PCS-SYS-003
UserProfileUpdate.java,doDeleteAction(),Error,"""Error :"" + next.getErrorCode() + "":"" + next.getMessage()",PCS-SYS-003
UserProfileUpdate.java,doDeleteAction(),Error,""" Error - accessing database. """,PCS-SYS-003
UserProfileUpdate.java,doUpdateAction(),Info,"""update user successfully""",PCS-SYS-003
UserProfileUpdate.java,validate(),Error,""" Please enter 'User Name' .""",PCS-SYS-003
UserProfileUpdate.java,validate(),Error,""" Please enter 'User Post' .""",PCS-SYS-003
UserProfileUpdate.java,validate(),Error,""" 'Password' should be equal to 'Confirm Password' .""",PCS-SYS-003
UserProfileUpdate.java,validate(),Error,""" EU Clerk can only belong to ONE team.""",PCS-SYS-003
ViewUsercode.java,doComfirmAction(),Error,""" Total of user code amounts should be equal to 'Billing Amount'.""",
ViewUsercode.java,doComfirmAction(),Error,""" No payment no. , so can't change user code.""",
ViewUsercode.java,doComfirmAction(),Error,""" Following  UserCode not found in GFMIS system ,if you still like to proceed , please press confirm again .""",
ViewUsercode.java,doComfirmAction(),Error,"""The usercode format is invalid!""",
ViewUsercode.java,doDeleteAction(),Error,"""IndexOutOfBoundsException :"" + e.getMessage()",
ViewUsercode.java,notifyCardUser(),Info,""" Email Notification sent to :"" + creator.getUsername()",
ViewUsercode.java,notifyCardUser(),Error,e.getMessage(),
ViewUsercode.java,notifyCardUser(),Error,""" P-Card User has't a valid email address .""",
ViewUsercode.java,notifyCardUser(),Error,""" Error accessing Database.""",
ViewUsercode.java,notifyCardUser(),Error,"""Error - sending email.[ SMTP Host not found :"" + root.getMessage() + ""].""",
ViewUsercode.java,notifyCardUser(),Error,""" Error reading Email Notification config.""",
ViewUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ViewUsercode.java,validateUsercode(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ViewUsercode.java,validateUsercodeExist(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ViewUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]+"" contain special character!""",
ViewUsercode.java,validateUsercodeFormat(String[]),Error,""" [ row index : "" + (i + 1) + "" ] :"" + ucs[i]",
ViewUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
ViewUsercode.java,validateUsercodes(),Error,""" [ row index : "" + (rowIndex + 1) + "" ] :"" + ucEntry.getUsercode()",
